[2025-03-06 15:07:15] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:12, systemid=1, alt=28.783, dist_traveled=null, wp_dist=677, dist_to_home=922.130170163268, vertical_speed=0.27374047, ground_speed=25.308681, wind_vel=0.18611583, airspeed=24.785942, roll=-2.62, pitch=-1.86, yaw=33.05, ch3percent=66.60, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0692254, lon=129.0877096, ch3out=1666}
[2025-03-06 15:07:16] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:15, systemid=1, alt=29.039, dist_traveled=null, wp_dist=652, dist_to_home=897.1076741364874, vertical_speed=0.16386041, ground_speed=25.338308, wind_vel=0.18837565, airspeed=24.801085, roll=-1.23, pitch=-2.11, yaw=32.26, ch3percent=66.40, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0694157, lon=129.0878606, ch3out=1664}
[2025-03-06 15:07:17] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:17, systemid=1, alt=29.14, dist_traveled=null, wp_dist=640, dist_to_home=884.5791211859096, vertical_speed=0.12097704, ground_speed=25.346045, wind_vel=0.18969326, airspeed=24.79091, roll=-0.76, pitch=-2.22, yaw=31.96, ch3percent=66.40, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0695113, lon=129.0879355, ch3out=1664}
[2025-03-06 15:07:18] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:18, systemid=1, alt=29.218, dist_traveled=null, wp_dist=640, dist_to_home=872.0450130941581, vertical_speed=0.13639969, ground_speed=25.347614, wind_vel=0.18969326, airspeed=24.813288, roll=-0.73, pitch=-2.08, yaw=32.00, ch3percent=66.40, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0696071, lon=129.0880101, ch3out=1664}
[2025-03-06 15:07:19] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:19, systemid=1, alt=29.361, dist_traveled=null, wp_dist=602, dist_to_home=847.1325615667664, vertical_speed=0.06821705, ground_speed=25.32605, wind_vel=0.19365247, airspeed=24.85945, roll=-0.02, pitch=-2.26, yaw=31.89, ch3percent=66.30, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0697977, lon=129.0881581, ch3out=1663}
[2025-03-06 15:07:20] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:19, systemid=1, alt=29.412, dist_traveled=null, wp_dist=589, dist_to_home=834.6150423127156, vertical_speed=0.10571374, ground_speed=25.327887, wind_vel=0.19834292, airspeed=24.895155, roll=0.03, pitch=-2.17, yaw=31.96, ch3percent=66.30, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0698935, lon=129.0882325, ch3out=1663}
[2025-03-06 15:07:21] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:21, systemid=1, alt=29.47, dist_traveled=null, wp_dist=576, dist_to_home=822.1031559608122, vertical_speed=0.08247266, ground_speed=25.349514, wind_vel=0.20088707, airspeed=24.89536, roll=0.17, pitch=-2.21, yaw=32.00, ch3percent=66.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0699892, lon=129.0883071, ch3out=1660}
[2025-03-06 15:07:22] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:22, systemid=1, alt=29.55, dist_traveled=null, wp_dist=551, dist_to_home=796.9495789695981, vertical_speed=0.073533654, ground_speed=25.387985, wind_vel=0.20326361, airspeed=24.92865, roll=0.43, pitch=-2.24, yaw=32.04, ch3percent=66.20, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0701815, lon=129.0884576, ch3out=1662}
[2025-03-06 15:07:23] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:23, systemid=1, alt=29.597, dist_traveled=null, wp_dist=538, dist_to_home=784.370433190442, vertical_speed=0.049970154, ground_speed=25.423487, wind_vel=0.2075574, airspeed=24.904016, roll=0.20, pitch=-2.33, yaw=32.16, ch3percent=66.10, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0702776, lon=129.0885332, ch3out=1661}
[2025-03-06 15:07:24] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:24, systemid=1, alt=29.621, dist_traveled=null, wp_dist=526, dist_to_home=771.7981686896915, vertical_speed=0.045350734, ground_speed=25.45228, wind_vel=0.20948642, airspeed=24.94348, roll=0.07, pitch=-2.34, yaw=32.39, ch3percent=66.30, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0703736, lon=129.088609, ch3out=1663}
[2025-03-06 15:07:25] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:25, systemid=1, alt=29.655, dist_traveled=null, wp_dist=513, dist_to_home=759.2128737196884, vertical_speed=0.057349697, ground_speed=25.473894, wind_vel=0.21139687, airspeed=24.9641, roll=0.36, pitch=-2.34, yaw=32.39, ch3percent=66.20, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0704697, lon=129.088685, ch3out=1662}
[2025-03-06 15:07:26] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:26, systemid=1, alt=29.735, dist_traveled=null, wp_dist=487, dist_to_home=734.0618077234531, vertical_speed=0.0669316, ground_speed=25.475883, wind_vel=0.21579984, airspeed=24.96717, roll=0.16, pitch=-2.29, yaw=32.50, ch3percent=65.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0706616, lon=129.0888377, ch3out=1657}
[2025-03-06 15:07:27] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:27, systemid=1, alt=29.772, dist_traveled=null, wp_dist=475, dist_to_home=721.5458210313948, vertical_speed=0.040939562, ground_speed=25.455734, wind_vel=0.21844615, airspeed=24.974379, roll=-0.01, pitch=-2.37, yaw=32.64, ch3percent=65.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0707571, lon=129.0889139, ch3out=1657}
[2025-03-06 15:07:28] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:28, systemid=1, alt=29.789, dist_traveled=null, wp_dist=462, dist_to_home=709.1078354532552, vertical_speed=0.012859412, ground_speed=25.442627, wind_vel=0.22116366, airspeed=24.931635, roll=-0.08, pitch=-2.36, yaw=32.60, ch3percent=65.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.070852, lon=129.0889898, ch3out=1657}
[2025-03-06 15:07:29] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:29, systemid=1, alt=29.804, dist_traveled=null, wp_dist=437, dist_to_home=684.1195397554633, vertical_speed=0.036068425, ground_speed=25.437328, wind_vel=0.22638655, airspeed=25.003052, roll=-0.10, pitch=-2.35, yaw=32.61, ch3percent=66.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0710427, lon=129.0891427, ch3out=1660}
[2025-03-06 15:07:31] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:30, systemid=1, alt=29.804, dist_traveled=null, wp_dist=437, dist_to_home=684.1195397554633, vertical_speed=0.033082232, ground_speed=25.440401, wind_vel=0.22638655, airspeed=25.012125, roll=-0.28, pitch=-2.31, yaw=32.63, ch3percent=66.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0710427, lon=129.0891427, ch3out=1660}
[2025-03-06 15:07:32] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:30, systemid=1, alt=29.804, dist_traveled=null, wp_dist=437, dist_to_home=684.1195397554633, vertical_speed=0.033082232, ground_speed=25.440401, wind_vel=0.22638655, airspeed=25.012125, roll=-0.28, pitch=-2.31, yaw=32.63, ch3percent=66.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0710427, lon=129.0891427, ch3out=1660}
[2025-03-06 15:07:33] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:32, systemid=1, alt=29.827, dist_traveled=null, wp_dist=399, dist_to_home=646.6268285800642, vertical_speed=9.3484495E-4, ground_speed=25.454002, wind_vel=0.23441945, airspeed=24.985367, roll=-0.12, pitch=-2.34, yaw=32.54, ch3percent=65.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0713294, lon=129.089372, ch3out=1658}
[2025-03-06 15:07:34] {GCS_IP=192.168.1.39, timestamp=2025-03-06 15:07:34, systemid=1, alt=29.833, dist_traveled=null, wp_dist=399, dist_to_home=634.1328587404219, vertical_speed=0.023580605, ground_speed=25.457392, wind_vel=0.23441945, airspeed=24.967602, roll=-0.22, pitch=-2.40, yaw=32.61, ch3percent=65.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0714251, lon=129.0894484, ch3out=1658}
