[2025-03-06 15:07:02] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:01, systemid=1, alt=0.123, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=0.014250299, ground_speed=0.031164568, wind_vel=0.0, airspeed=0.5311472, roll=-0.07, pitch=-0.08, yaw=1.38, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:03] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:01, systemid=1, alt=0.123, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=0.014250299, ground_speed=0.031164568, wind_vel=0.0, airspeed=0.5311472, roll=-0.07, pitch=-0.08, yaw=1.38, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:04] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:01, systemid=1, alt=0.123, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=0.014250299, ground_speed=0.031164568, wind_vel=0.0, airspeed=0.5311472, roll=-0.07, pitch=-0.08, yaw=1.38, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:05] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:05, systemid=1, alt=0.037, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=0.012525812, ground_speed=0.031798955, wind_vel=0.0, airspeed=0.38946965, roll=-0.07, pitch=-0.08, yaw=1.38, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:06] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:06, systemid=1, alt=0.04, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=0.009356923, ground_speed=0.031513438, wind_vel=0.0, airspeed=0.60551697, roll=-0.07, pitch=-0.08, yaw=1.38, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:07] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:07, systemid=1, alt=0.039, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=0.005905818, ground_speed=0.031190293, wind_vel=0.0, airspeed=0.97274935, roll=-0.07, pitch=-0.08, yaw=1.38, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:08] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:08, systemid=1, alt=0.028, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=0.0034853534, ground_speed=0.031209422, wind_vel=0.0, airspeed=0.5125151, roll=-0.07, pitch=-0.08, yaw=1.38, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:09] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:08, systemid=1, alt=0.023, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=1.4750483E-4, ground_speed=0.031292275, wind_vel=0.0, airspeed=0.58437955, roll=-0.07, pitch=-0.08, yaw=1.38, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:10] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:10, systemid=1, alt=-0.05, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=-0.009366559, ground_speed=0.030988876, wind_vel=0.0, airspeed=0.5923427, roll=-0.07, pitch=-0.08, yaw=1.39, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:11] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:11, systemid=1, alt=-0.11, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=-0.018000422, ground_speed=0.031038448, wind_vel=0.0, airspeed=0.75767505, roll=-0.07, pitch=-0.08, yaw=1.39, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:12] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:12, systemid=1, alt=-0.149, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=-0.022422355, ground_speed=0.03147118, wind_vel=0.0, airspeed=0.44885767, roll=-0.07, pitch=-0.08, yaw=1.39, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:13] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:13, systemid=1, alt=-0.175, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=-0.0213803, ground_speed=0.031395882, wind_vel=0.0, airspeed=0.7504678, roll=-0.07, pitch=-0.08, yaw=1.39, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:14] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:14, systemid=1, alt=-0.197, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=-0.022264544, ground_speed=0.031423945, wind_vel=0.0, airspeed=0.98545694, roll=-0.07, pitch=-0.08, yaw=1.39, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
[2025-03-06 15:07:15] {GCS_IP=192.168.1.4, timestamp=2025-03-06 15:07:15, systemid=1, alt=-0.034, dist_traveled=null, wp_dist=0, dist_to_home=0.13391486231721217, vertical_speed=-0.020968916, ground_speed=0.031175746, wind_vel=0.0, airspeed=0.8165637, roll=-0.07, pitch=-0.08, yaw=1.39, ch3percent=0.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0766969, lon=129.0921074, ch3out=1000}
