[2025-03-06 15:07:15] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:15, systemid=1, alt=30.491, dist_traveled=null, wp_dist=237, dist_to_home=967.9099671750166, vertical_speed=-0.3106571, ground_speed=25.640158, wind_vel=0.17581162, airspeed=25.041353, roll=26.07, pitch=-2.52, yaw=-141.96, ch3percent=65.20, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0682576, lon=129.0894987, ch3out=1652}
[2025-03-06 15:07:16] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:16, systemid=1, alt=30.341, dist_traveled=null, wp_dist=212, dist_to_home=989.9371134344908, vertical_speed=-0.181379, ground_speed=25.544298, wind_vel=0.17682064, airspeed=25.024294, roll=17.80, pitch=-2.44, yaw=-131.84, ch3percent=64.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0680947, lon=129.0893024, ch3out=1647}
[2025-03-06 15:07:17] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:17, systemid=1, alt=30.088, dist_traveled=null, wp_dist=186, dist_to_home=1010.6386540630737, vertical_speed=-0.16603456, ground_speed=25.572428, wind_vel=0.17743549, airspeed=25.017103, roll=11.08, pitch=-2.65, yaw=-126.76, ch3percent=64.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0679508, lon=129.0890839, ch3out=1647}
[2025-03-06 15:07:18] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:18, systemid=1, alt=29.793, dist_traveled=null, wp_dist=148, dist_to_home=1040.1442954756644, vertical_speed=-0.1449574, ground_speed=25.54914, wind_vel=0.17539479, airspeed=25.013248, roll=4.18, pitch=-2.63, yaw=-123.17, ch3percent=65.80, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0677586, lon=129.088735, ch3out=1658}
[2025-03-06 15:07:19] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:19, systemid=1, alt=29.708, dist_traveled=null, wp_dist=122, dist_to_home=1059.621690019344, vertical_speed=-0.05612411, ground_speed=25.583412, wind_vel=0.17534961, airspeed=25.055283, roll=1.05, pitch=-2.56, yaw=-122.36, ch3percent=66.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.067637, lon=129.0884958, ch3out=1660}
[2025-03-06 15:07:20] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:20, systemid=1, alt=29.72, dist_traveled=null, wp_dist=97, dist_to_home=1079.20031047758, vertical_speed=0.018544257, ground_speed=25.55383, wind_vel=0.17437631, airspeed=25.019863, roll=-1.88, pitch=-2.36, yaw=-122.32, ch3percent=66.10, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0675166, lon=129.0882576, ch3out=1661}
[2025-03-06 15:07:21] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:21, systemid=1, alt=29.739, dist_traveled=null, wp_dist=84, dist_to_home=1089.208627294154, vertical_speed=0.050008055, ground_speed=25.549093, wind_vel=0.17452502, airspeed=25.015112, roll=-2.64, pitch=-2.28, yaw=-122.89, ch3percent=66.00, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0674553, lon=129.0881381, ch3out=1660}
[2025-03-06 15:07:22] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:22, systemid=1, alt=29.854, dist_traveled=null, wp_dist=46, dist_to_home=1119.6839759140153, vertical_speed=0.06438152, ground_speed=25.51134, wind_vel=0.1763474, airspeed=24.993292, roll=-3.02, pitch=-2.29, yaw=-124.05, ch3percent=65.90, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0672684, lon=129.0877861, ch3out=1659}
[2025-03-06 15:07:23] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:23, systemid=1, alt=29.929, dist_traveled=null, wp_dist=20, dist_to_home=1140.6466727279492, vertical_speed=0.058230847, ground_speed=25.513191, wind_vel=0.17840219, airspeed=24.982658, roll=-2.66, pitch=-2.41, yaw=-125.02, ch3percent=65.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0671393, lon=129.0875538, ch3out=1657}
[2025-03-06 15:07:24] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:24, systemid=1, alt=29.962, dist_traveled=null, wp_dist=82, dist_to_home=1161.8149954212072, vertical_speed=0.03365113, ground_speed=25.462786, wind_vel=0.18242207, airspeed=24.958344, roll=-2.31, pitch=-2.32, yaw=-125.88, ch3percent=65.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0670085, lon=129.087326, ch3out=1657}
[2025-03-06 15:07:25] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:25, systemid=1, alt=29.88, dist_traveled=null, wp_dist=103, dist_to_home=1182.840485193364, vertical_speed=-0.30626446, ground_speed=25.688751, wind_vel=0.18363436, airspeed=24.956621, roll=57.60, pitch=0.94, yaw=-115.89, ch3percent=95.90, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0668826, lon=129.0870926, ch3out=1959}
[2025-03-06 15:07:26] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:26, systemid=1, alt=31.111, dist_traveled=null, wp_dist=81, dist_to_home=1197.2699199679955, vertical_speed=0.15287185, ground_speed=25.68619, wind_vel=0.18558846, airspeed=25.130838, roll=36.64, pitch=-1.80, yaw=-98.00, ch3percent=64.20, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0668382, lon=129.0868168, ch3out=1642}
[2025-03-06 15:07:27] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:27, systemid=1, alt=31.001, dist_traveled=null, wp_dist=956, dist_to_home=1206.7657796758685, vertical_speed=-0.11773701, ground_speed=25.760656, wind_vel=0.18490238, airspeed=25.172558, roll=54.35, pitch=-1.06, yaw=-79.21, ch3percent=79.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0668479, lon=129.0865368, ch3out=1797}
[2025-03-06 15:07:28] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:28, systemid=1, alt=31.75, dist_traveled=null, wp_dist=957, dist_to_home=1204.266814486371, vertical_speed=1.4364164, ground_speed=26.071606, wind_vel=0.1814163, airspeed=25.642662, roll=53.42, pitch=3.09, yaw=-39.15, ch3percent=74.40, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0669663, lon=129.0862967, ch3out=1744}
[2025-03-06 15:07:29] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:29, systemid=1, alt=32.599, dist_traveled=null, wp_dist=946, dist_to_home=1190.6834151342516, vertical_speed=-0.014678433, ground_speed=25.879528, wind_vel=0.17243667, airspeed=25.436337, roll=52.85, pitch=0.14, yaw=-24.42, ch3percent=65.90, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0671641, lon=129.0861472, ch3out=1659}
[2025-03-06 15:07:31] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:30, systemid=1, alt=32.314, dist_traveled=null, wp_dist=928, dist_to_home=1170.5429084762652, vertical_speed=-0.43323416, ground_speed=25.652554, wind_vel=0.16203971, airspeed=25.26261, roll=49.11, pitch=-0.87, yaw=-2.36, ch3percent=61.30, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0673902, lon=129.0860957, ch3out=1613}
[2025-03-06 15:07:32] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:31, systemid=1, alt=32.025, dist_traveled=null, wp_dist=917, dist_to_home=1158.859035773416, vertical_speed=-0.84754467, ground_speed=25.423618, wind_vel=0.15561615, airspeed=25.016602, roll=44.05, pitch=-2.22, yaw=11.31, ch3percent=58.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0675038, lon=129.0861081, ch3out=1587}
[2025-03-06 15:07:33] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:32, systemid=1, alt=30.461, dist_traveled=null, wp_dist=880, dist_to_home=1121.3757551580236, vertical_speed=-1.0840561, ground_speed=25.258945, wind_vel=0.13512208, airspeed=24.836515, roll=31.21, pitch=-3.54, yaw=29.42, ch3percent=57.70, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0678189, lon=129.0862617, ch3out=1577}
[2025-03-06 15:07:34] {GCS_IP=192.168.1.11, timestamp=2025-03-06 15:07:33, systemid=1, alt=29.343, dist_traveled=null, wp_dist=855, dist_to_home=1096.3877341880602, vertical_speed=-0.8009341, ground_speed=25.323902, wind_vel=0.12202466, airspeed=24.801464, roll=14.20, pitch=-3.75, yaw=40.10, ch3percent=60.50, ch9out=0, ch10out=0, ch11out=0, ch12out=0, battery_voltage=0, battery_current=-1, lat=35.0680008, lon=129.0864282, ch3out=1605}
